INFO 2022-01-27 11:59:08,223 basehttp 10228 6076 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 5984
INFO 2022-01-27 11:59:08,223 basehttp 10228 8340 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7902
INFO 2022-01-27 11:59:08,223 basehttp 10228 9368 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11097
INFO 2022-01-27 11:59:08,241 basehttp 10228 5728 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2022-01-27 11:59:08,263 basehttp 10228 10568 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 232381
INFO 2022-01-27 11:59:08,338 basehttp 10228 6076 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2022-01-27 11:59:08,339 basehttp 10228 10568 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 492
INFO 2022-01-27 11:59:08,340 basehttp 10228 9368 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2022-01-27 11:59:08,340 basehttp 10228 5728 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3401
INFO 2022-01-27 11:59:08,341 basehttp 10228 8340 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2022-01-27 11:59:08,343 basehttp 10228 10648 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876
INFO 2022-01-27 11:59:08,346 basehttp 10228 6076 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692
INFO 2022-01-27 11:59:08,346 basehttp 10228 10568 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 86184
INFO 2022-01-27 11:59:08,465 basehttp 10228 10568 "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
WARNING 2022-01-27 11:59:08,469 log 10228 6076 Not Found: /favicon.ico
WARNING 2022-01-27 11:59:08,469 basehttp 10228 6076 "GET /favicon.ico HTTP/1.1" 404 4527
INFO 2022-01-27 12:02:00,471 basehttp 10228 7820 "GET / HTTP/1.1" 200 1493
INFO 2022-01-27 12:02:00,534 basehttp 10228 7820 "GET /static/css/style.css HTTP/1.1" 200 3838
INFO 2022-01-27 12:02:00,565 basehttp 10228 8392 "GET /static/img/login_img_GITAM.svg HTTP/1.1" 200 11942
INFO 2022-01-27 12:02:00,565 basehttp 10228 6500 "GET /static/img/google_img_GITAM.svg HTTP/1.1" 200 56655
INFO 2022-01-27 12:02:00,565 basehttp 10228 7028 "GET /static/js/bootstrap.min.js HTTP/1.1" 200 59219
INFO 2022-01-27 12:02:00,580 basehttp 10228 11024 "GET /static/img/GITAM-logo.png HTTP/1.1" 200 12606
INFO 2022-01-27 12:02:00,580 basehttp 10228 7820 "GET /static/js/jquery.js HTTP/1.1" 200 89501
INFO 2022-01-27 12:02:00,627 basehttp 10228 3756 "GET /static/css/bootstrap.css HTTP/1.1" 200 205484
INFO 2022-01-27 12:02:07,699 basehttp 10228 7028 "GET /login/google-oauth2/ HTTP/1.1" 302 0
INFO 2022-01-27 12:02:13,802 basehttp 10228 3756 - Broken pipe from ('127.0.0.1', 58519)

INFO 2022-01-27 12:02:13,802 basehttp 10228 8392 - Broken pipe from ('127.0.0.1', 58520)

INFO 2022-01-27 12:02:13,802 basehttp 10228 11024 - Broken pipe from ('127.0.0.1', 58521)

INFO 2022-01-27 12:02:13,802 basehttp 10228 6500 - Broken pipe from ('127.0.0.1', 58522)

INFO 2022-01-27 12:02:13,802 basehttp 10228 7028 - Broken pipe from ('127.0.0.1', 58523)

INFO 2022-01-27 12:02:13,802 basehttp 10228 7820 - Broken pipe from ('127.0.0.1', 58518)

INFO 2022-01-27 12:02:22,328 basehttp 10228 4384 "GET /dashboard HTTP/1.1" 200 9675
INFO 2022-01-27 12:02:22,350 basehttp 10228 4384 "GET /static/css/style.css HTTP/1.1" 200 3838
INFO 2022-01-27 12:02:22,361 basehttp 10228 4384 "GET /static/js/jquery.js HTTP/1.1" 200 89501
INFO 2022-01-27 12:02:22,369 basehttp 10228 4384 "GET /static/img/profile.png HTTP/1.1" 200 31957
INFO 2022-01-27 12:02:22,400 basehttp 10228 10912 "GET /static/css/bootstrap.css HTTP/1.1" 200 205484
INFO 2022-01-27 12:02:22,405 basehttp 10228 5748 "GET /static/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
INFO 2022-01-27 12:02:22,414 basehttp 10228 6204 "GET /static/js/bootstrap.min.js HTTP/1.1" 200 59219
INFO 2022-01-27 12:02:22,430 basehttp 10228 8308 "GET /static/img/GITAM-logo.png HTTP/1.1" 200 12606
INFO 2022-01-27 12:02:22,435 basehttp 10228 1172 "GET /static/img/log_out.png HTTP/1.1" 200 546
INFO 2022-01-27 12:02:25,588 basehttp 10228 1172 "GET /static/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
INFO 2022-01-27 12:02:34,258 basehttp 10228 1172 "GET /dashboard HTTP/1.1" 200 9675
INFO 2022-01-27 12:02:36,670 basehttp 10228 1172 "GET /dashboard HTTP/1.1" 200 9675
INFO 2022-01-27 12:02:51,690 basehttp 10228 6448 "GET / HTTP/1.1" 200 1493
INFO 2022-01-27 12:02:51,717 basehttp 10228 6448 "GET /static/css/style.css HTTP/1.1" 200 3838
INFO 2022-01-27 12:02:51,724 basehttp 10228 6448 "GET /static/css/bootstrap.css HTTP/1.1" 200 205484
INFO 2022-01-27 12:02:51,727 basehttp 10228 6448 "GET /static/js/bootstrap.min.js HTTP/1.1" 200 59219
INFO 2022-01-27 12:02:51,731 basehttp 10228 6448 "GET /static/js/jquery.js HTTP/1.1" 200 89501
INFO 2022-01-27 12:02:51,734 basehttp 10228 6448 "GET /static/img/login_img_GITAM.svg HTTP/1.1" 200 11942
INFO 2022-01-27 12:02:51,737 basehttp 10228 6448 "GET /static/img/GITAM-logo.png HTTP/1.1" 200 12606
INFO 2022-01-27 12:02:51,740 basehttp 10228 6448 "GET /static/img/google_img_GITAM.svg HTTP/1.1" 200 56655
WARNING 2022-01-27 12:02:52,141 log 10228 6448 Not Found: /favicon.ico
WARNING 2022-01-27 12:02:52,142 basehttp 10228 6448 "GET /favicon.ico HTTP/1.1" 404 4527
INFO 2022-01-27 12:02:53,581 basehttp 10228 6448 "GET /login/google-oauth2/ HTTP/1.1" 302 0
INFO 2022-01-27 12:02:56,229 basehttp 10228 6448 "GET /complete/google-oauth2/?state=zs4N8sEOMqwY5j6CH4Hlz9II7pNZ6lJU&code=4/0AX4XfWjm8Ct_iVwgjQ2BaVsAa_n42ZmnDtQWGltt63cI-R1mWIeZHJmb0NbnPllISMDaew&scope=email%20profile%20https://www.googleapis.com/auth/userinfo.email%20https://www.googleapis.com/auth/userinfo.profile%20openid&authuser=0&hd=gitam.edu&prompt=consent HTTP/1.1" 302 0
INFO 2022-01-27 12:02:56,234 basehttp 10228 6448 "GET /dashboard HTTP/1.1" 200 9675
INFO 2022-01-27 12:02:56,300 basehttp 10228 6448 "GET /static/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
INFO 2022-01-27 12:02:56,313 basehttp 10228 6448 "GET /static/img/log_out.png HTTP/1.1" 200 546
INFO 2022-01-27 12:02:56,314 basehttp 10228 1096 "GET /static/img/profile.png HTTP/1.1" 200 31957
INFO 2022-01-27 12:03:13,021 basehttp 10228 1096 "GET / HTTP/1.1" 200 1493
INFO 2022-01-27 12:09:56,859 autoreload 6260 10028 Watching for file changes with StatReloader
INFO 2022-01-27 12:09:59,801 basehttp 6260 4152 "GET / HTTP/1.1" 200 1493
INFO 2022-01-27 12:10:03,489 basehttp 6260 4152 "GET /login/google-oauth2/ HTTP/1.1" 302 0
INFO 2022-01-27 12:11:23,420 autoreload 2168 11100 Watching for file changes with StatReloader
